,name,iou,acc,precision,recall,pos,neg,tp,tn,fp,fn
560,m_3907621_sw_18_1_20170611_inference_,,1.0,,,0,46707808,0,46707808,0,0
561,m_3907630_sw_18_1_20170611_inference_,0.0,0.999893898824218,0.0,,0,46625308,0,46620361,4947,0
562,m_3807613_ne_18_1_20170730_inference_,,1.0,,,0,47084068,0,47084068,0,0
563,m_3807641_ne_18_1_20170626_inference_,,1.0,,,0,47821480,0,47821480,0,0
564,m_3907534_nw_18_1_20170609_inference_,0.0,0.999801440009286,,0.0,9169,46168311,0,46168311,0,9169
565,m_3907619_sw_18_1_20170609_inference_,,1.0,,,0,46919008,0,46919008,0,0
566,m_3807616_nw_18_1_20170611_inference_,0.0,0.9999318660046242,0.0,,0,46790152,0,46786964,3188,0
567,m_3907660_nw_18_1_20170626_inference_,0.0,0.999841505402783,0.0,,0,47112016,0,47104549,7467,0
568,m_3807602_se_18_1_20170716_inference_,0.0,0.9999134257382644,0.0,,0,47415940,0,47411835,4105,0
569,m_3807606_sw_18_1_20170611_inference_,0.0,0.9997674390869301,0.0,,0,46955440,0,46944520,10920,0
570,m_3807605_ne_18_1_20170611_inference_,0.0,0.9289056747064776,0.0,,0,46992316,0,43651429,3340887,0
571,m_3907659_sw_18_1_20170716_inference_,0.0,0.9993089415076656,0.0,,0,47286880,0,47254202,32678,0
572,m_3907622_sw_18_1_20170611_inference_,,1.0,,,0,46542880,0,46542880,0,0
573,m_3907720_se_18_1_20170628_inference_,0.0,0.99991082306106,0.0,,0,47758984,0,47754725,4259,0
574,m_3807615_ne_18_1_20170709_inference_,,1.0,,,0,46835920,0,46835920,0,0
575,m_3907526_nw_18_1_20170709_inference_,0.0,0.9997655631189057,0.0,,0,46131820,0,46121005,10815,0
576,m_3807557_sw_18_1_20170611_inference_,,1.0,,,0,47082112,0,47082112,0,0
577,m_3807654_sw_18_1_20170730_inference_,,1.0,,,0,47413840,0,47413840,0,0
578,m_3807503_sw_18_1_20170609_inference_,0.1402863392324518,0.998694628968303,0.9370967741935484,0.14161994752161508,69743,46299449,9877,46298786,663,59866
579,m_3807636_sw_18_1_20170626_inference_,0.0,0.999982935493979,0.0,,0,47525548,0,47524737,811,0
580,m_3807651_nw_18_1_20170626_inference_,,1.0,,,0,47700736,0,47700736,0,0
581,m_3807643_se_18_1_20170626_inference_,0.0,0.9999019476979907,0.0,,0,47617444,0,47612775,4669,0
582,m_3807551_ne_18_1_20170611_inference_,0.7808512528001736,0.9990488959235081,0.9595508206860172,0.807428760937779,195995,46501313,158252,46494642,6671,37743
583,m_3807606_se_18_1_20170611_inference_,,1.0,,,0,46955440,0,46955440,0,0
584,m_3907635_nw_18_1_20170609_inference_,0.0,0.9999484454584402,0.0,,0,47056960,0,47054534,2426,0
