,name,iou,acc,precision,recall,pos,neg,tp,tn,fp,fn
61,m_3807502_nw_18_1_20170609,0.03991899479061525,0.04004366710698312,0.039974863571963525,0.966173449659869,1918966,44532474,1854054,6032,44526442,64912
62,m_3807544_se_18_1_20170611,0.008101067170951654,0.008173066153612575,0.00811142864871465,0.8637950679766258,437062,46169070,377532,3383,46165687,59530
63,m_3807662_sw_18_1_20170730,0.0006050130192008189,0.0006650276613748765,0.0006050361589813005,0.9405444360729845,30527,47429153,28712,2850,47426303,1815
64,m_3807545_se_18_1_20170611,0.0053149300751645255,0.005392634672460566,0.005319522211581866,0.8602728457800921,286902,46154590,246814,3628,46150962,40088
65,m_3907533_nw_18_1_20170709,0.004695542319632698,0.005153206663863258,0.004701035679581077,0.800728923676753,271359,46024669,217285,21288,46003381,54074
66,m_3907627_ne_18_1_20170611,0.007154303110145121,0.007810352682648363,0.007166334015455778,0.8099414004495771,414167,46504841,335451,31003,46473838,78716
67,m_3907541_nw_18_1_20170709,0.011635471858374843,0.011758816363687004,0.0116505846589118,0.8996979184379783,599838,45787654,539673,5789,45781865,60165
68,m_3807648_nw_18_1_20170611,0.0015869156669071735,0.001748223495324249,0.001587638273118848,0.7771147076589806,96018,46931722,74617,7598,46924124,21401
69,m_3907518_nw_18_1_20170709,0.007790371577959245,0.008206082019584693,0.0078011581210098435,0.8492667247353771,422488,45654312,358805,19305,45635007,63683
70,m_3807627_nw_18_1_20170716,0.0021550055958109884,0.0024178185399690213,0.0021560406288936235,0.8178179697548271,125177,47391623,102372,12515,47379108,22805
71,m_3807618_se_18_1_20170626,0.005429521214143729,0.005685778503602936,0.005433881514344935,0.8712396046560332,296046,47220754,257927,12243,47208511,38119
72,m_3807542_sw_18_1_20170611,0.003955341834738262,0.012513883928647714,0.003962057737206963,0.7000114390299702,262260,46554460,183585,402274,46152186,78675
73,m_3807560_nw_18_1_20170611,0.01250990882807066,0.013826058188606884,0.01257732951270144,0.7000351234294853,834201,45908695,583970,62300,45846395,250231
74,m_3807654_sw_18_1_20170730,0.0011844116567824722,0.0013001056231682563,0.001184690109891501,0.8344131720510001,67294,47346546,56151,5492,47341054,11143
75,m_3807636_nw_18_1_20170626,0.0041801645523286,0.004503954281234766,0.004185464278858479,0.7675115582092327,258258,47175394,198216,15423,47159971,60042
76,m_3907663_nw_18_1_20170611,0.0025857401442764146,0.002815813513955364,0.0025871497621621775,0.8259583797184792,146419,46634733,120936,10791,46623942,25483
77,m_3807510_ne_18_1_20170611,0.028380617295877892,0.028624623901275563,0.028470741669634515,0.8996546045341253,1466435,45030665,1319285,11677,45018988,147150
78,m_3807644_sw_18_1_20170626,0.009128201137270697,0.009708208461638456,0.009148491564910247,0.8045232511794749,539435,47032061,433988,27846,47004215,105447
79,m_3907663_se_18_1_20170611,0.003915616986730854,0.004154726983771853,0.003919417160520876,0.8015275542908754,228077,46470539,182810,11210,46459329,45267
80,m_3907629_sw_18_1_20170611,0.008915392236421243,0.009326849763234245,0.008931665895093858,0.8303112011679018,501412,46215648,416328,19395,46196253,85084
81,m_3907559_sw_18_1_20170609,0.033166719661166834,0.03332202303587668,0.033227391264961964,0.9478190316062256,1620725,44702843,1536154,7441,44695402,84571
82,m_3907637_ne_18_1_20170611,0.009246814946664987,0.010620638370650894,0.009276320156680217,0.7440597338264007,579772,46137288,431385,64780,46072508,148387
83,m_3907632_nw_18_1_20170611,0.012127768656203346,0.01571693966825822,0.012221662023125248,0.612194938110984,915429,45462811,560421,168503,45294308,355008
84,m_3807547_sw_18_1_20170611,0.00431288166622237,0.004431756154334516,0.004314540379859603,0.9181561791187607,217353,46059787,199564,5525,46054262,17789
85,m_3807611_sw_18_1_20170716,0.004995030943192392,0.0056565935752814055,0.005003144149921995,0.7549181242725258,313585,47111247,236731,31532,47079715,76854
86,m_3907631_ne_18_1_20170611,0.004031413043881177,0.004328993043586173,0.004035481325762219,0.7999563802445272,233839,46180881,187061,13868,46167013,46778
87,m_3807527_nw_18_1_20170611,0.008993669639493595,0.009728694221675277,0.009022287745978639,0.7392702801943283,566464,46030848,418770,34561,45996287,147694
88,m_3907659_nw_18_1_20170716,0.03740075143472138,0.046632604089473666,0.03832326527272679,0.60841284874479,2876172,44364724,1749900,453066,43911658,1126272
89,m_3807630_sw_18_1_20170730,0.00015522373697423686,0.00016351710268398855,0.00015522375343891576,0.999317126468178,7322,47131478,7317,391,47131087,5
90,m_3907633_nw_18_1_20170609,0.008747239721894938,0.009664215069303617,0.008779668695417754,0.7031043520113746,587981,46717775,413412,43761,46674014,174569
91,m_3807661_ne_18_1_20170730,0.0007944116678913653,0.0009568192923200629,0.0007945953195921939,0.7746293786702805,48702,47448250,37726,7720,47440530,10976
92,m_3807644_nw_18_1_20170626,0.012248976983179583,0.012918083553713048,0.012292531505020056,0.7756372479740594,750022,46775526,581745,32194,46743332,168277
93,m_3807739_sw_18_1_20170731,0.00048194842333036046,0.0005046731100673682,0.0004820026568136095,0.8107257726192141,28604,48089672,23190,1094,48088578,5414
94,m_3807648_ne_18_1_20170611,0.0010684063555270059,0.0012023329209526123,0.001068667014139087,0.8141377801546016,61707,46966033,50238,6305,46959728,11469
95,m_3907635_nw_18_1_20170609,0.0051455901945189906,0.0058392637348439,0.00515400312660612,0.7591716997411562,318725,46738235,241967,32811,46705424,76758
96,m_3807616_nw_18_1_20170611,0.008566177894201691,0.009015786056860854,0.008581418194750261,0.8282787978275387,483691,46306461,400631,21219,46285242,83060
97,m_3907661_nw_18_1_20170611,0.008525613564079363,0.012872090169016725,0.008547898186405356,0.7658211578010374,521264,46507928,399195,206169,46301759,122069
98,m_3807534_ne_18_1_20170611,0.006775884247326009,0.007618538421337799,0.006786113356346048,0.8180230916490298,386027,46256909,315779,39572,46217337,70248
99,m_3807620_sw_18_1_20170626,0.00823679599605185,0.00883292119540306,0.008253648767820313,0.8013497369000055,486317,46855439,389710,28456,46826983,96607
